,number,value,datetime_start,datetime_complete,duration,params_beta,params_f_cross_layer,params_hi5_cin_fn_k,params_hi5_dur_cin_par1,params_hi5_rel_beta,params_hpv16_cin_fn_k,params_hpv16_dur_cin_par1,params_hpv18_cin_fn_k,params_hpv18_dur_cin_par1,params_m_cross_layer,params_ohr_cin_fn_k,params_ohr_dur_cin_par1,params_ohr_rel_beta,state
3133,3133,16.40117769967981,2026-01-14 09:50:52.561567,2026-01-14 09:53:45.744513,0 days 00:02:53.182946,0.44868323879008126,0.0611257270368909,0.018138374378771013,9.773098043251101,0.21156563494096117,0.0004077864000184998,7.706976592792224,0.019481333436074152,1.5615207316448407,0.6030809308563823,0.08158390027923025,4.948280359107119,0.9853404302886334,COMPLETE
2891,2891,16.471628361353424,2026-01-14 07:09:43.069878,2026-01-14 07:12:53.075656,0 days 00:03:10.005778,0.38954738849154436,0.06707521148676646,0.0008494419003841555,7.591327661336429,0.11196576685970389,0.00043266918325287284,7.447118669498094,0.043046117934100396,1.4728074352225737,0.6562801900307911,0.07698022410739855,5.525513701453957,0.9184705636245862,COMPLETE
2343,2343,16.482259171204092,2026-01-14 03:01:15.941868,2026-01-14 03:04:25.467126,0 days 00:03:09.525258,0.41242180632792647,0.061015368238166265,0.033484579081450916,7.5222454291999945,0.07666119089147445,0.0006320179470127908,7.339838766231028,0.0719433804022803,1.9881365218446838,0.5575163143437357,0.09122663897780162,11.443209614030629,0.9482089844231969,COMPLETE
3347,3347,16.48703772334062,2026-01-14 11:29:23.905797,2026-01-14 11:32:09.081842,0 days 00:02:45.176045,0.4095818791479552,0.03347852427648908,0.06798296300934063,10.28119546165349,0.18570664907772308,0.00014327415438483964,7.8855978951740635,0.00017631970945455877,2.3639868728638573,0.5475309189438404,0.06658568561591702,5.759668844776904,0.9470766479708275,COMPLETE
3205,3205,16.50739530641118,2026-01-14 10:21:18.538115,2026-01-14 10:24:21.755244,0 days 00:03:03.217129,0.4198316932514641,0.038487816098236496,0.07470149195090811,10.207284299401948,0.23228848197623636,0.00023712452902753992,7.163751522454843,0.0363654436532115,2.015959970915226,0.6003073127052563,0.08172533591166656,5.455847859975373,0.9823077653432091,COMPLETE
2682,2682,16.549327124395457,2026-01-14 05:34:54.737121,2026-01-14 05:38:04.321746,0 days 00:03:09.584625,0.41162001044786334,0.05171745193596693,0.014643629883738025,7.334530884336268,0.10912159392874747,0.00027933568638080334,7.739066987361066,0.08335477367728747,1.636054508363682,0.5235561030315962,0.06463574377402158,6.086656361315644,0.9551877857179255,COMPLETE
2262,2262,16.589196779395028,2026-01-14 02:23:21.736506,2026-01-14 02:26:31.852733,0 days 00:03:10.116227,0.3376267670872291,0.05322552279806865,0.033256609998844895,7.055302471077366,0.03297810918302843,0.000281961657041456,7.313124364596494,0.03486885305797881,2.0087901487429316,0.47694712600481515,0.08478675200517072,11.074199023052458,0.9355548237452224,COMPLETE
4456,4456,16.61723808209753,2026-01-14 22:59:18.831845,2026-01-14 23:02:38.515140,0 days 00:03:19.683295,0.18652508993357889,0.09924844724406573,0.037372678795508,8.270144084593554,0.3601705972117022,0.0001876183331768501,7.7458696986476445,0.08223022176274086,2.7237361886941165,0.5503578212365453,0.01874485872260702,4.732203871448023,0.900219073713426,COMPLETE
3880,3880,16.63389426284426,2026-01-14 18:26:43.177606,2026-01-14 18:29:54.773110,0 days 00:03:11.595504,0.4063806342450746,0.08673209849230858,0.017743876341578983,7.856289881219228,0.39282878509393493,0.0002226742530714746,7.159232582983437,0.02986128947554746,2.011878361224351,0.6817057519316627,0.09287238323282496,4.960368102876602,0.9635862116503876,COMPLETE
2898,2898,16.68085850901054,2026-01-14 07:12:53.146682,2026-01-14 07:16:05.215575,0 days 00:03:12.068893,0.40264097993932196,0.07511099736922464,0.0008974178804930719,6.92541958128242,0.16552671697438323,0.00026851955332571993,7.58935256845394,0.082694015606294,1.4821940223704866,0.649203193481339,0.03538465768854409,5.278447470215611,0.9206091809315112,COMPLETE
