,index,mismatch,hpv16_cin_fn_k,hpv16_dur_cin_par1,hpv18_cin_fn_k,hpv18_dur_cin_par1,hi5_cin_fn_k,hi5_dur_cin_par1,hi5_rel_beta,beta,f_cross_layer,m_cross_layer
1784,1784,19.771784434870465,0.00012781229783032132,6.0059396502934135,0.5314604734374219,1.3190154118665622,0.0829352448554713,8.694268229469355,0.2486066990633455,0.4924731200385278,0.00040471065028986966,0.7008084435248148
2099,2099,19.784235458066163,0.00013422585981977926,7.932246326090708,0.5021559816550447,1.2016003653368772,0.03568383069647942,9.436496601692882,0.31675633599788344,0.48418943170167444,0.07115334506658248,0.5803946980887862
2292,2292,19.820158692093997,0.00061668818512622,8.182208735640376,0.3865621330189529,1.3744135371837127,0.0513961352824044,8.901685634633294,0.34212683273789324,0.4868664018325654,0.04697688814720082,0.6980683602814154
3167,3167,19.870189909357478,0.0008166850326579673,6.215885598341031,0.7324193008185831,1.3504455753325093,0.03442559587950334,8.134359874804458,0.1874439765175239,0.4999967280032778,0.018713771140947084,0.7050318136116753
2167,2167,19.910737808237727,0.0001428116679317279,7.944508880715987,0.5296014587113047,1.3710835148046898,0.04650418280767067,8.673306198572316,0.310098245540324,0.46284144921528714,0.03744921477982152,0.6511618757393115
4526,4526,19.91350631433124,1.482356215240464e-05,6.512698318425251,0.5315078446587711,1.4040048416376083,0.03538858750526873,8.534839509718388,0.25080046223504365,0.46364980117678395,0.03293091250023917,0.7257706514562824
4828,4828,19.919895959114925,0.0003103359142049086,6.441494223341641,0.6093181687045062,1.9892742655287385,0.0008371014908940475,7.840581502115782,0.13008430135757773,0.49187701308253406,0.00022956599294342295,0.8215866245125492
2235,2235,19.983174322938634,0.00019877099682716895,8.784939110916902,0.43753078409759777,1.5607261559104773,0.1011684986773907,9.951087366041262,0.2630302088667628,0.4719273507942792,0.02882691734261051,0.7010111877332144
2129,2129,19.98354012732356,2.201025841386652e-05,8.528704823341641,0.5313318611562724,1.362220144399866,0.024540019208261654,8.951209181127322,0.2958719848005503,0.4996451963152543,0.04772814856942343,0.6150684530370264
4064,4064,19.993353302598006,0.0002753435742698437,6.432750308562573,0.5903126328321021,1.5134517556300604,0.06383812921174424,2.7571467338997917,0.25014798097778557,0.4919045218548562,0.031288633887567995,0.7202091163640394
3868,3868,20.00043144666667,9.370243629626449e-05,8.841139994588097,0.6150005295298261,1.9108894595271433,0.033347429708343555,2.113558889283377,0.4790627208457532,0.4377735214452528,0.01624942730055943,0.7426989613214078
